gene,function,category,functional_group
SAOUHSC_02788,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02789,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02790,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02791,pyrophosphohydrolase,DNA metabolism,DNA metabolism
SAOUHSC_02793,hypothetical protein,Central intermediary metabolism,Central metabolism
SAOUHSC_02794,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02795,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02796,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02797,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02798,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02799,accessory regulator T,Regulatory functions,Regulatory
SAOUHSC_02800,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02801,UTP-glucose-1-phosphate uridylyltransferase,Cell envelope,Cell envelope
SAOUHSC_02802,fibronectin binding protein B,Cell envelope,Cell envelope
SAOUHSC_02803,fibronectin-binding protein,Cell envelope,Virulence
SAOUHSC_02804,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02805,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02806,gluconate permease,Transport and binding proteins,Transport
SAOUHSC_02808,gluconate kinase,Energy metabolism,Energy metabolism
SAOUHSC_02809,gluconate operon transcriptional repressor,,Unknown/Hypothetical
SAOUHSC_02810,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02811,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02812,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02813,,,Unknown/Hypothetical
SAOUHSC_02815,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02816,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02817,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02818,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02819,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02820,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02821,membrane spanning protein,,Virulence
SAOUHSC_02822,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02680,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02823,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02824,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02825,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02826,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02827,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02828,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02829,NAD(P)H-flavin oxidoreductase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02830,D-lactate dehydrogenase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02831,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02832,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02833,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02834,sortase,Cell envelope; Protein fate,Virulence
SAOUHSC_02836,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02837,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02838,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02839,"L-serine dehydratase, iron-sulfur-dependent subunit alpha",Energy metabolism,Energy metabolism
SAOUHSC_02840,L-serine dehydratase iron-sulfur-dependent subunit beta,Energy metabolism,Energy metabolism
SAOUHSC_02841,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02842,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02843,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02844,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02845,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_02846,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02848,PTS system glucose-specific transporter subunit IIABC,Transport and binding proteins,Transport
SAOUHSC_02849,pyruvate oxidase,Energy metabolism,Energy metabolism
SAOUHSC_02850,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_02851,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02852,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02853,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02855,LysM domain-containing protein,,Unknown/Hypothetical
SAOUHSC_02856,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02857,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02858,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02859,hydroxymethylglutaryl-CoA reductase,Energy metabolism,Energy metabolism
SAOUHSC_02860,HMG-CoA synthase,,Unknown/Hypothetical
SAOUHSC_02861,methylated-DNA--protein-cysteine methyltransferase,DNA metabolism,DNA metabolism
SAOUHSC_02862,ATP-dependent Clp protease ATP-binding subunit ClpC,Protein fate,Virulence
SAOUHSC_02863,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_02864,ferrous iron transport protein B,Transport and binding proteins,Transport
SAOUHSC_02865,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02866,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02867,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02868,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02869,1-pyrroline-5-carboxylate dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_02871,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02872,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02873,cation transporter E1-E2 family ATPase,,Unknown/Hypothetical
SAOUHSC_02874,cation transporter E1-E2 family ATPase,Transport and binding proteins,Transport
SAOUHSC_02875,D-lactate dehydrogenase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02876,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02877,squalene synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02879,squalene desaturase,,Unknown/Hypothetical
SAOUHSC_02880,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02881,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02882,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02883,LysM domain-containing protein,,Unknown/Hypothetical
SAOUHSC_02885,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02886,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02887,immunodominant antigen A,,Unknown/Hypothetical
SAOUHSC_02888,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02889,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02890,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02891,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02892,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02893,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02894,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02895,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02896,hypothetical protein,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_02897,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02898,hypothetical protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_02899,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02900,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_02901,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02904,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02905,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02906,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02907,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02908,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02909,dihydroorotate dehydrogenase 2,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_02910,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02911,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02912,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02913,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02914,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02915,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_02916,aspartate alpha-decarboxylase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Virulence
SAOUHSC_02918,pantoate--beta-alanine ligase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02919,3-methyl-2-oxobutanoate hydroxymethyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02920,2-dehydropantoate 2-reductase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02921,alpha-acetolactate decarboxylase,Energy metabolism,Energy metabolism
SAOUHSC_02922,L-lactate dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_A02771,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02923,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_02924,4-aminobutyrate aminotransferase,Central intermediary metabolism,Central metabolism
SAOUHSC_02925,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02926,"fructose-1,6-bisphosphate aldolase","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02927,malate:quinone oxidoreductase,Energy metabolism,Energy metabolism
SAOUHSC_02928,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02929,acetyl-CoA synthetase,,Unknown/Hypothetical
SAOUHSC_02930,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02931,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02932,choline dehydrogenase,Cellular processes,Cellular processes
SAOUHSC_02933,betaine aldehyde dehydrogenase,Cellular processes,Cellular processes
SAOUHSC_02934,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02935,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02936,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02937,choline transporter,Transport and binding proteins,Transport
SAOUHSC_02939,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02940,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02941,hypothetical protein,"Protein fate; Purines, pyrimidines, nucleosides, and nucleotides",Protein fate
SAOUHSC_02942,anaerobic ribonucleoside triphosphate reductase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_02943,citrate transporter,Transport and binding proteins,Transport
SAOUHSC_02944,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02945,precorrin-2 dehydrogenase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_02947,sulfite reductase (NADPH) flavoprotein subunit alpha,,Unknown/Hypothetical
SAOUHSC_02948,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02949,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02794,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02950,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A02795,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02953,permease domain-containing protein,,Unknown/Hypothetical
SAOUHSC_02954,ABC transporter ATP-binding protein,Protein fate,Protein fate
SAOUHSC_02955,nisin susceptibility-associated sensor histidine kinase,Signal transduction,Signal transduction
SAOUHSC_02956,nisin susceptibility-associated DNA-binding response regulator,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_02957,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_A02801,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02958,alkaline phosphatase III,,Unknown/Hypothetical
SAOUHSC_02960,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02961,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02962,tributyrin esterase,Cellular processes,Virulence
SAOUHSC_02963,clumping factor B,,Virulence
SAOUHSC_02964,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_02965,carbamate kinase,Energy metabolism,Energy metabolism
SAOUHSC_02967,arginine/ornithine antiporter,Transport and binding proteins,Transport
SAOUHSC_02968,ornithine carbamoyltransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_02969,arginine deiminase,Energy metabolism,Energy metabolism
SAOUHSC_A02811,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02970,hypothetical protein,Amino acid biosynthesis; Regulatory functions,Amino acid metabolism
SAOUHSC_02971,zinc metalloproteinase aureolysin,,Unknown/Hypothetical
SAOUHSC_02972,immunodominant antigen B,,Unknown/Hypothetical
SAOUHSC_02973,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_02974,hypothetical protein,Signal transduction; Transport and binding proteins,Signal transduction
SAOUHSC_02975,PTS system fructose-specific transporter subunit IIABC,,Unknown/Hypothetical
SAOUHSC_02976,mannose-6-phosphate isomerase,Energy metabolism,Energy metabolism
SAOUHSC_02978,phage infection protein,,Unknown/Hypothetical
SAOUHSC_02979,N-acetylmuramoyl-L-alanine amidase,,Unknown/Hypothetical
SAOUHSC_02980,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02982,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02983,accessory Sec system glycosylation chaperone GtfB,Protein fate,Protein fate
SAOUHSC_02984,accessory Sec system glycosyltransferase GtfA,Protein fate,Protein fate
SAOUHSC_02985,accessory Sec system translocase SecA2,Protein fate,Protein fate
SAOUHSC_02986,accessory Sec system protein Asp3,Cellular processes; Protein fate,Virulence
SAOUHSC_02987,accessory Sec system protein Asp2,Cellular processes; Protein fate,Virulence
SAOUHSC_02988,accessory Sec system protein Asp1,Cellular processes; Protein fate,Virulence
SAOUHSC_02989,accessory Sec system protein translocase subunit SecY2,Protein fate,Protein fate
SAOUHSC_02990,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02991,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02992,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_02993,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02994,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02995,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_02996,methionine sulfoxide reductase A,Cellular processes; Protein fate,Cellular processes
SAOUHSC_02997,hypothetical protein,Protein synthesis,Translation
SAOUHSC_02998,capsular polysaccharide biosynthesis protein Cap5C,,Unknown/Hypothetical
SAOUHSC_02999,capsular polysaccharide biosynthesis protein Cap5B,Transport and binding proteins,Transport
SAOUHSC_03000,capsular polysaccharide biosynthesis protein CapA,Transport and binding proteins,Transport
SAOUHSC_03001,ica operon transcriptional regulator IcaR,,Unknown/Hypothetical
SAOUHSC_03002,N-glycosyltransferase,,Unknown/Hypothetical
SAOUHSC_03003,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_03004,intercellular adhesion protein B,Cell envelope; Cellular processes,Cell envelope
SAOUHSC_03005,intercellular adhesion protein C,,Unknown/Hypothetical
SAOUHSC_03006,lipase,,Virulence
SAOUHSC_A02856,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03008,multifunctional imidazole glycerol phosphate synthase subunit/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_03009,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_03010,imidazole glycerol phosphate synthase subunit HisH,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_03011,imidazoleglycerol-phosphate dehydratase,,Unknown/Hypothetical
SAOUHSC_03012,histidinol-phosphate aminotransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_03013,histidinol dehydrogenase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_03014,ATP phosphoribosyltransferase catalytic subunit,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_03015,ATP phosphoribosyltransferase regulatory subunit,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_03016,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_03017,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03018,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_03019,ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_03020,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_03021,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_03022,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03023,lactonase Drp35,,Unknown/Hypothetical
SAOUHSC_03024,hypothetical protein,Protein synthesis,Translation
SAOUHSC_03025,pyrrolidone-carboxylate peptidase,Protein fate,Protein fate
SAOUHSC_03026,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03027,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_03028,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03030,"sodium, sulfate symporter",Transport and binding proteins,Transport
SAOUHSC_03031,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_03032,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03033,high affinity nickel transporter,Transport and binding proteins,Transport
SAOUHSC_03034,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03035,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_03036,ABC transporter ATP-binding protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_03037,permease,,Unknown/Hypothetical
SAOUHSC_03037a,membrane protein,Cell envelope,Cell envelope
